"","fips","aveBMI","avePM.idw","per.black","per.latinx","per.asnam","per.white","med.hinc","med.hval","lt.HS","female.unemp","male.unemp","climate.region"
"231",17039,26.74234498,12.031373,0.005023942,0.014993328,0.003375461,0.96867886,45347,96200,12.1,5.4,8,"ohio_valley"
"232",17041,29.2753473,10.578571,0.002161286,0.048628934,0.004052411,0.937525328,46941,93000,30.9,5.6,4.3,"ohio_valley"
"233",17043,27.0747089,11.92362885,0.040397741,0.111986471,0.09948455,0.736136935,76581,316900,11.9,6,6.5,"ohio_valley"
"234",17045,26.95136591,13.04876,0.002905569,0.007471463,0.001729505,0.980352819,39904,74200,25.3,8.5,8.6,"ohio_valley"
"235",17055,27.97901816,11.268333,0.002222222,0.008496732,0.003137255,0.976013072,34381,61100,18.8,8.3,12.1,"ohio_valley"
"236",17061,26.97616205,11.133929,0.010479042,0.007391467,0.000842,0.97492515,41450,72000,29.6,5,5.4,"ohio_valley"
"237",17063,30.10603284,10.39645987,0.009696204,0.064989287,0.00604296,0.911635445,64297,193300,18.9,6.1,9,"ohio_valley"
"238",17067,26.82618957,11.809565,0.00181123,0.007312001,0.002213725,0.981283961,42857,80200,11.3,4.9,7.1,"ohio_valley"
"239",17073,27.99485377,9.8,0.012528978,0.035034253,0.003203876,0.94097575,49164,108800,15.4,3.1,5.8,"ohio_valley"
"240",17081,29.34498184,11.268333,0.077767854,0.018292481,0.006284939,0.88789653,41161,85800,22.3,7.4,8.6,"ohio_valley"
"241",17083,29.29921744,11.18870037,0.003606447,0.006931139,0.002648484,0.976050941,53470,118200,15.2,4.2,5.7,"ohio_valley"
"242",17089,26.24795756,11.30466815,0.050704902,0.265049347,0.034366899,0.640755138,67767,245000,21.5,6.7,7.3,"ohio_valley"
"243",17091,29.39353715,9.983333,0.136501564,0.070795206,0.008737234,0.773174331,50484,148400,15.8,7.5,10.2,"ohio_valley"
"244",17093,27.00357639,11.62358003,0.051417313,0.13144782,0.030100419,0.777539087,79897,248300,16.8,4.9,6.6,"ohio_valley"
"245",17097,26.46300679,9.943417669,0.064014566,0.169320073,0.062362223,0.690763327,78948,287300,15.2,6.8,7.1,"ohio_valley"
"246",17099,28.17349173,9.445133,0.019097895,0.062264839,0.006441977,0.9043509,51705,125500,17.6,7.4,10,"ohio_valley"
"247",17101,24.70504554,12.302609,0.114633788,0.036034053,0.002348451,0.839718186,38771,67900,30.6,6.3,7.2,"ohio_valley"
"248",17111,26.99330793,10.55255491,0.008829619,0.094351804,0.024195739,0.864176147,76482,249700,14.7,6.3,7,"ohio_valley"
"249",17113,29.56996385,10.491453,0.063921927,0.035582495,0.04005032,0.847026532,57642,151700,6.1,4.4,5.9,"ohio_valley"
"250",17115,27.43548269,12.031373,0.143769594,0.014915072,0.009709419,0.818667821,44337,90500,20.8,6.4,8.1,"ohio_valley"
"251",17117,27.79633762,11.133929,0.006461206,0.006974858,0.00243309,0.974749932,47178,93400,12.8,6.3,7.6,"ohio_valley"
"252",17119,27.87653698,13.30387937,0.070261878,0.022044262,0.008085139,0.8878223,51941,122600,12.3,6.1,6.8,"ohio_valley"
"253",17127,24.18143647,11.436283,0.057593821,0.012341533,0.003022416,0.914700697,41077,81800,15.8,3.4,7.5,"ohio_valley"
