ent,Date,pm25,bc,Sodium,Al,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Br,Ba,Pb
1892,3/7/03,11.1,0.64086979,0.3257,0.0452,0.0457,1.0418,0.0028,0.0352,0.0265,0.0018,0.0053,0.0011,0.0023,0.0431,0.0033,0.0033,0.0097,0.0019,0,0.0035,0.0111,0.003
1893,3/8/03,15.5,0.5508559,0.3946,0.0486,0.0482,2.1757,0.0048,0.0415,0.0269,0.0032,0.0045,7.00E-04,0,0.041,0.0043,0.0017,0.0105,9.00E-04,0,0.0043,0.0062,0.0067
1894,3/9/03,6.5,0.33249618,0.1578,0.0472,0.0474,0.9105,0.0018,0.0269,0.0315,0.0027,4.00E-04,0.0016,0,0.032,0.0012,7.00E-04,0.0056,0,0,0,0.0292,0.0106
1895,3/10/03,9.3,0.25051042,0.2445,0.0705,0.1879,0.9615,0.0025,0.0423,0.0443,0.0022,0.0031,8.00E-04,3.00E-04,0.0643,0.0037,0,0.0249,0,0,0.0019,0.0148,0.0078
1896,3/11/03,,0.52136458,,,,,,,,,,,,,,,,,,,,
1897,3/12/03,18.7,0.69660833,0.3104,0.0835,0.1061,1.8397,0.0032,0.0586,0.0391,0.0048,0.0045,7.00E-04,1.00E-04,0.085,0.0071,0.0021,0.0146,0.0018,0.0034,2.00E-04,0.006,0.0083
1898,3/13/03,8.2,0.55529479,0.2804,0.0462,0.0621,0.7839,0.0058,0.0379,0.0415,0.0031,0.0051,8.00E-04,0,0.0557,0.0043,0.0037,0.0135,0,0.0016,0.0014,0.0041,0.0131
1899,3/14/03,9.2,0.37486944,0.2347,0.05,0.0846,0.6725,0.0082,0.0478,0.0398,0.0035,0.0036,1.00E-04,0.0019,0.0802,0.0041,0.0031,0.0103,0,0,0.0049,0,0.0083
1900,3/15/03,17.1,0.81682639,0.2858,0.0631,0.2003,1.2217,0.0182,0.0578,0.0358,0.0057,0.0103,0.0012,0.0015,0.1057,0.0097,0.0047,0.0286,0,0,0.0074,0.0027,0.0112
1901,3/16/03,25,1.31405312,0.3119,0.0507,0.0598,1.8846,0.0067,0.0602,0.0272,0.0045,0.0139,7.00E-04,7.00E-04,0.1037,0.0134,0.0043,0.0151,0.002,0,0,0.0239,0.0086
1902,3/17/03,13.5,1.74145312,0.2147,0.0454,0.0672,1.4417,0.0069,0.0274,0.0349,0.0035,0.0095,0,3.00E-04,0.0974,0.0084,0.0076,0.0208,8.00E-04,0,0.0016,0.0105,0.0038
1903,3/18/03,18.9,1.15235069,0.4407,0.0742,0.0892,2.5606,0.0041,0.0499,0.0497,0.0034,0.0085,2.00E-04,0.0047,0.0915,0.0065,0.0023,0.0157,0.0022,0,8.00E-04,0,0.0057
1904,3/19/03,6.9,0.39703993,0.3359,0.0597,0.0932,0.617,0.0074,0.0354,0.0311,0.0024,0.0031,0,0,0.0573,0.004,8.00E-04,0.0042,0,0,0,0.0054,0.0016
1905,3/20/03,7.6,0.78310278,0.3353,0.0573,0.0764,0.6606,0.0178,0.0313,0.042,0.0022,0.0045,5.00E-04,7.00E-04,0.0707,0.0035,0.0059,0.0111,4.00E-04,0,1.00E-04,0.0084,0.0057
1906,3/21/03,17.3,0.85177326,0.2391,0.0502,0.0468,1.8414,0.0054,0.0453,0.0214,0.0028,0.0065,0.0011,8.00E-04,0.0743,0.0093,0.0045,0.0142,0.001,0,0.0012,0.0169,0.008
1907,3/22/03,18.1,1.43387222,0.2591,0.0492,0.0424,1.4037,0.0081,0.0453,0.0262,0.0023,0.0089,0,0,0.0858,0.0116,0.0058,0.0124,0,0,5.00E-04,0.0119,0.0061
1908,3/23/03,9.5,0.37809931,0.1902,0.0498,0.0738,1.2194,0.0072,0.0316,0.0259,0.003,0.0038,4.00E-04,0,0.0729,0.0052,0.0048,0.0238,9.00E-04,0,0,0.0165,0.0042
1909,3/24/03,11.4,0.74459896,0.1541,0.0293,0.0582,1.4539,0.0033,0.0258,0.0217,0.0031,0.0031,4.00E-04,0,0.0604,0.0025,6.00E-04,0.0087,9.00E-04,0.0012,0,0,0.0083
